upasarga_id,upasarga_order,source_forms_slp1,engine_input_slp1,source_code,gana,aupadeshika_slp1,source_artha_slp1,engine_status,output_forms_slp1,output_variant_count
pra,1,pra,pra,01.0207,BvAdi,Ija~\,gatikutsanayoH,generated,praIj,1
pra,1,pra,pra,01.0208,BvAdi,pebf~\,sevane,generated,prapeb,1
pra,1,pra,pra,01.0209,BvAdi,plebf~\,sevane,generated,prapleb,1
pra,1,pra,pra,01.0210,BvAdi,Suca~,Soke,generated,praSuc,1
pra,1,pra,pra,01.0211,BvAdi,kuca~,Sabde tAre,generated,prakuc,1
pra,1,pra,pra,01.0212,BvAdi,kunca~,gatikOwilyAlpIBAvayoH,generated,prakuYc,1
pra,1,pra,pra,01.0213,BvAdi,krunca~,gatikOwilyAlpIBAvayoH,generated,prakruYc,1
pra,1,pra,pra,01.0214,BvAdi,lunca~,apanayane,generated,praluYc,1
pra,1,pra,pra,01.0215,BvAdi,ancu~,gatipUjanayoH,generated,praaYc,1
pra,1,pra,pra,01.0216,BvAdi,vancu~,gatO,generated,pravaYc,1
pra,1,pra,pra,01.0217,BvAdi,cancu~,gatO,generated,pracaYc,1
pra,1,pra,pra,01.0218,BvAdi,tancu~,gatO,generated,prataYc,1
pra,1,pra,pra,01.0219,BvAdi,tvancu~,gatO,generated,pratvaYc,1
pra,1,pra,pra,01.0220,BvAdi,mruncu~,gatO,generated,pramruYc,1
pra,1,pra,pra,01.0221,BvAdi,mluncu~,gatO,generated,pramluYc,1
pra,1,pra,pra,01.0222,BvAdi,mrucu~,gatO,generated,pramruc,1
pra,1,pra,pra,01.0223,BvAdi,mlucu~,gatO,generated,pramluc,1
pra,1,pra,pra,01.0224,BvAdi,grucu~,steyakaraRe,generated,pragruc,1
pra,1,pra,pra,01.0225,BvAdi,glucu~,steyakaraRe,generated,pragluc,1
pra,1,pra,pra,01.0226,BvAdi,kuju~,steyakaraRe,generated,prakuj,1
pra,1,pra,pra,01.0227,BvAdi,Kuju~,steyakaraRe,generated,praKuj,1
pra,1,pra,pra,01.0228,BvAdi,gluncu~,gatO,generated,pragluYc,1
pra,1,pra,pra,01.0229,BvAdi,zasja~,gatO,generated,prasajj,1
pra,1,pra,pra,01.0230,BvAdi,guja~,avyakte Sabde,generated,praguj,1
pra,1,pra,pra,01.0231,BvAdi,guji~,avyakte Sabde,generated,praguYj,1
pra,1,pra,pra,01.0232,BvAdi,arca~,pUjAyAm,generated,praarc,1
pra,1,pra,pra,01.0233,BvAdi,mleCa~,avyakte Sabde,generated,pramlecC,1
pra,1,pra,pra,01.0234,BvAdi,laCa~,lakzaRe,generated,pralacC,1
pra,1,pra,pra,01.0235,BvAdi,lACi~,lakzaRe,generated,pralAYC,1
pra,1,pra,pra,01.0236,BvAdi,vACi~,icCAyAm,generated,pravAYC,1
pra,1,pra,pra,01.0237,BvAdi,ACi~,AyAme,generated,praAYC,1
pra,1,pra,pra,01.0238,BvAdi,hrICa~,lajjAyAm,generated,prahrIcC,1
pra,1,pra,pra,01.0239,BvAdi,hurCA~,kOwilye,generated,prahUrC,1
pra,1,pra,pra,01.0240,BvAdi,murCA~,mohasamucCrAyayoH,generated,pramUrC,1
pra,1,pra,pra,01.0241,BvAdi,sPurCA~,vistftO,generated,prasPUrC,1
pra,1,pra,pra,01.0242,BvAdi,yuCa~,pramAde,generated,prayucC,1
pra,1,pra,pra,01.0243,BvAdi,uCi~,uYCe,generated,prauYC,1
pra,1,pra,pra,01.0244,BvAdi,uCI~,vivAse,generated,praucC,1
pra,1,pra,pra,01.0245,BvAdi,Draja~,gatO,generated,praDraj,1
pra,1,pra,pra,01.0246,BvAdi,Draji~,gatO,generated,praDraYj,1
pra,1,pra,pra,01.0247,BvAdi,awi~\,gatO,generated,praaRw,1
pra,1,pra,pra,01.0248,BvAdi,rebf~,plavagatO,generated,prareb,1
pra,1,pra,pra,01.0249,BvAdi,Dfja~,gatO,generated,praDfj,1
pra,1,pra,pra,01.0250,BvAdi,Dfji~,gatO,generated,praDfYj,1
pra,1,pra,pra,01.0251,BvAdi,Dvaja~,gatO,generated,praDvaj,1
