root,valency_path_c,total_tokens,distinct_preverbs,distinct_pratyayas
caṅkram,6,27,2,5
kheday,6,27,2,5
ribh,6,27,2,5
udañc,6,27,1,6
uddru,6,27,1,6
bhramay,6,26,3,4
ṇū,6,26,2,5
ghrāpay,6,25,4,4
varvṛt,6,25,2,4
citay,6,24,1,6
pratyudi,6,24,1,6
vyave,6,24,1,6
yopay,6,24,2,5
abhiniryā,6,23,1,6
cchā,6,23,3,3
sap,6,23,1,6
udās,6,21,1,6
ṇah,6,20,2,4
ṣkambh,6,20,2,5
ṣkṛ,6,20,1,6
coray,6,19,1,6
samudvah,6,19,1,6
śaṃsay,6,18,2,6
bībhats,6,17,2,5
eṣay,6,17,2,5
hrāsay,6,17,4,4
kṣap,6,17,2,5
rundhay,6,17,2,4
ṣīv,6,17,4,3
jāgaray,6,16,1,6
kṣamay,6,16,1,6
upāv,6,16,1,6
śabdāpay,6,16,1,6
jigamiṣ,6,15,3,3
sphālay,6,15,3,4
tānay,6,15,4,4
anvas,6,14,1,6
kranday,6,14,2,5
kṛp,6,14,1,6
luñc,6,14,3,5
si,6,14,2,5
veṣay,6,14,2,5
vāvad,6,14,3,4
yāsay,6,14,3,4
abhyavekṣ,6,13,1,6
atisaṃdhā,6,13,1,6
dhukṣ,6,13,2,5
didhiṣ,6,13,1,6
manth,6,13,2,5
jūrv,6,12,3,4
bobhav,6,11,3,4
karṇay,6,11,3,4
udan,6,11,1,6
udvāhay,6,11,1,6
udyojay,6,11,1,6
ṛd,6,11,3,4
sūtray,6,10,3,4
śrathay,6,10,2,5
dediś,6,9,3,4
pan,6,9,2,6
unmīlay,6,9,1,6
śrāmay,6,9,2,5
koṭay,6,8,2,5
ruruts,6,8,3,4
rāmay,6,8,2,5
sāhay,6,8,1,6
smaray,6,6,3,5
ah,5,9590,5,1
anuprāp,5,372,1,5
vinyas,5,300,1,5
udvij,5,270,1,5
udbhū,5,236,1,5
vyatī,5,143,1,5
samudbhū,5,135,1,5
samave,5,127,1,5
