root,valency,tokens,first_consonant,vowel,articulation_place,varga_column,bonding_cluster
vyathay,11,61,v,a,semivowel,non-varga (semivowel),
laṅgh,11,57,l,a,semivowel,non-varga (semivowel),
liṅg,11,54,l,i,semivowel,non-varga (semivowel),
hary,11,53,h,a,glottal,non-varga (glottal),
lolay,11,47,l,o,semivowel,non-varga (semivowel),
sraṃsay,11,43,s,a,sibilant,non-varga (sibilant),
īkṣay,11,41,—,ī,vowel-initial,non-varga (vowel-initial),
cākaś,11,35,c,ā,cavarga,C1 (unvoiced unaspirate),
ṣū,11,35,ṣ,ū,sibilant,non-varga (sibilant),
vañc,11,34,v,a,semivowel,non-varga (semivowel),
tolay,11,32,t,o,tavarga,C1 (unvoiced unaspirate),
bṛṃh,11,31,b,ṛ,pavarga,C3 (voiced unaspirate),
udyam,10,942,—,u,vowel-initial,non-varga (vowel-initial),
pre,10,818,p,e,pavarga,C1 (unvoiced unaspirate),
prāś,10,583,p,ā,pavarga,C1 (unvoiced unaspirate),
upasaṃkram,10,476,—,u,vowel-initial,non-varga (vowel-initial),
īś,10,425,—,ī,vowel-initial,non-varga (vowel-initial),
ucchri,10,360,—,u,vowel-initial,non-varga (vowel-initial),
īḍ,10,353,—,ī,vowel-initial,non-varga (vowel-initial),
cchad,10,298,c,a,cavarga,C1 (unvoiced unaspirate),
ākarṇay,10,236,—,ā,vowel-initial,non-varga (vowel-initial),
udgrah,10,235,—,u,vowel-initial,non-varga (vowel-initial),
dīdī,10,200,d,ī,tavarga,C3 (voiced unaspirate),
udvah,10,189,—,u,vowel-initial,non-varga (vowel-initial),
